COUNT_time,drivinstage,turn,omega,hsv.val,distance,gyro_deg
1592,100,-3,0,21,255,0
1596,100,-3,0,21,255,0
1600,100,-3,0,21,255,0
1604,100,-3,0,21,255,0
1608,100,-3,0,21,255,0
1612,100,-9,0,22,255,0
1616,100,-7,0,22,255,0
1620,100,-7,0,22,255,0
1624,100,-7,0,22,255,0
1628,100,-7,0,22,255,0
1632,100,-7,0,22,255,0
1636,100,-7,0,22,255,0
1640,100,-7,0,22,255,0
1644,100,-7,0,22,255,0
1648,100,-7,0,22,255,0
1652,100,-7,0,22,255,0
1656,100,-7,0,22,255,0
1660,100,-7,0,22,255,0
1664,100,-7,0,22,255,0
1668,100,-7,0,22,255,0
1672,100,-7,0,22,255,0
1676,100,-7,0,22,255,0
1680,100,-7,0,22,255,0
1684,100,-12,0,23,255,0
1688,0,-11,0,23,255,0
1692,0,-11,0,23,255,0
1696,0,-11,0,23,255,0
1700,0,-11,0,23,255,0
1704,0,-11,0,23,255,0
1708,0,-11,0,23,255,0
1712,0,-5,0,22,255,0
1716,0,-7,0,22,255,0
1720,0,-7,0,22,255,0
1724,0,-7,0,22,255,0
1728,0,-7,0,22,255,0
1732,0,-7,0,22,255,0
1736,0,-7,0,22,255,0
1740,0,-7,0,22,255,0
1744,0,-7,0,22,255,0
1748,0,-7,0,22,255,0
1752,0,-7,0,22,255,0
1756,0,-7,0,22,255,0
1760,0,-7,0,22,255,0
1764,0,-7,0,22,255,0
1768,0,-7,0,22,255,0
1772,0,-2,0,21,255,0
1776,0,-3,0,21,255,0
1780,0,-3,0,21,255,0
1784,0,-3,0,21,255,0
1788,0,-3,0,21,255,0
1792,0,-3,0,21,255,0
1796,0,-3,0,21,255,0
1800,0,-3,0,21,255,0
1804,0,-3,0,21,255,0
1808,0,-3,0,21,255,0
1812,0,-3,0,21,255,0
1816,0,-3,0,21,255,0
1820,0,-3,0,21,255,0
1824,0,-3,-1,21,255,0
1828,0,-3,-1,21,255,0
1832,0,-3,-1,21,255,0
1836,0,-3,-1,21,255,0
1840,0,-3,-1,21,255,0
1844,0,1,-1,20,255,0
1848,0,0,-1,20,255,0
1852,100,0,-1,20,255,0
1856,100,0,-1,20,255,0
1860,100,0,-1,20,255,0
1864,100,5,0,19,255,0
1868,100,3,0,19,255,0
1872,100,3,0,19,255,0
1876,100,3,0,19,255,0
